GVP;GEOROC
Heidarspordar;HEIDASPORDUR RIDGE
Hekla;HEKLA
Helgrindur;HELGRINDUR
Hengill;HENGILL (MAELIFELL-MIDFELL) FISSURE SWARMS
Hertali;HERTALI
Hierro;EL HIERRO
Hodson;MOUNT HODSON,VISOKOI
Hofsjokull;HOFSJÖKULL
Homa Mountain;HOMA MOUNTAIN
Home Reef;HOME REEF
Hornopiren;HORNOPIREN
Hualalai;HUALALAI
Huaynaputina;HUAYNAPUTINA
Hudson Mountains;HUDSON MOUNTAINS
Humeros, Los;LOS HUMEROS CALDERA
Hunga Tonga-Hunga Ha'apai;HUNGA TONGA,HUNGA HA'APAI,HUNGA HA^APAI
Hunter Island;HUNTER
Ichinsky;ICHINSKY(ICHINSKII)
Iraya;IRAYA
Irazu;IRAZU
Ischia;ISCHIA
Itasy Volcanic Field;ITASY VOLCANIC FIELD
Izu-Oshima;IZU-OSHIMA
Jan Mayen;JAN MAYEN
Kamen;KAMEN
Kao;KAO
Karisimbi;KARISIMBI
Karthala;MOUNT KARTHALA,OLD KARTHALA
Karymsky;KARYMSKY
Katla;KATLA
Katmai;KATMAI GROUP
Katunga;KATUNGA
Katwe-Kikorongo;KATWE-KIKORONGO
Kerguelen Islands;KERGUELEN ARCHIPELAGO
Khangar;KHANGAR
Kilauea;KILAUEA
Kizimen;KIZIMEN
Klyuchevskoy;KLYUCHEVSKOY
Kolbeinsey Ridge;KOLBEINSEY
Kone;KONE
Korath Range; KORATH RANGE
Koro;KORO
Korosi;KOROSI 
Kozushima;KOZUSHIMA
Krafla;KRAFLA
Krakatau;KRAKATAU ISLANDS - SERTUNG,KRAKATAU ISLANDS - ANAK KRAKATAU,KRAKATAU ISLANDS - PANJANG,KRAKATAU ISLANDS - RAKATA,KRAKATAU
Krysuvik;KRYSUVIKURHRAUN,KRISUVIK
Ksudach;KSUDACH
Kurile Lake;KURILE LAKE CALDERA,PAUZHETKA
Kutum Volcanic Field;TAGABO HILLS,Kutum Volcanic Field
Kuwae;KUWAE,LAIKA,SARUA
Kverkfjoll;KVERKFJÖLL AREA,KVERKFJÖLL
Kyejo;KIEJO
La Palma;LA PALMA
Langjokull;LANGJÖKULL
Lanzarote;LANZAROTE
Lascar;LASCAR
Lassen Volcanic Center;LASSEN VOLCANIC CENTER
Lastarria;LASTARRIA,LASTARRIA VOLCANIC COMPLEX
Late;LATE
Lengai, Ol Doinyo;OLDOINYO LENGAI
Leskov Island;LESKOV
Liamuiga;MOUNT LIAMUIGA
Lipari;LIPARI
Ljosufjoll;LJOSUFJOELL
Llaima;LLAIMA
Loihi;LOIHI
Longonot;LONGONOT
Lonquimay;LONQUIMAY
Lopevi;LOPEVI
Los Azufres;LOS AZUFRES VOLCANIC CENTER
Ma Alalta;MA ALALTA
Maca;MACA
Macauley;MACAULEY
Macdonald;MACDONALD
Madeira;MADEIRA
Maipo;MAIPO
Makushin;MAKUSHIN
Manda Hararo;MANDA HARARO RIFT SEGMENT
Manda-Inakir;MANDA INAKIR
Manzaz Volcanic Field;MANZAZ VOLCANIC FIELD
Marion Island;MARION ISLANDS
Maroa;MAROA
Marra, Jebel;JEBEL MARRA
Marsabit;MARSABIT
Marsili;MARSILI
Masaya;MASAYA TRIPLE LAYER TEPHRA,MASAYA
Mascota Volcanic Field;MASCOTA VOLCANIC COMPLEX
Matthew Island;MATTHEW,EAST MATTHEW,WEST MATTHEW
Maule, Laguna del;LAGUNA DEL MAULE VOLCANIC FIELD
Mauna Kea;MAUNA KEA
Mauna Loa;MAUNA LOA
Mayor Island;MAYOR ISLAND,MAJOR ISLAND (TUHUA)
Mayotte;MAYOTTE (MAHORE) 
McDonald Islands;MCDONALD ISLANDS
Medicine Lake;MEDICINE LAKE VOLCANO
Mega Volcanic Field;MEGA
Megata;MEGATA - ICHINOMEGATA MAAR
Mehetia;MEHETIA
Meidob Volcanic Field;MEIDOB HILLS
Melbourne;MOUNT MELBOURNE
Melimoyu;MELIMOYU(MELYMOYU)
Menengai;MENENGAI CALDERA
Mentolat;MENTOLAT
Merapi;MERAPI
Mere Lava;MERELAVA
Meru;MERU
