CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_020801-1-3,,,,,,,,,,,,,,,WR,50.7,1.29,,17.88,,11.16,,,10.09,4.84,0.15,,0.71,2.92,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_020802-24,,,,,,,,,,,,,,,WR,50.71,1.3,,17.94,,11.14,,,10.06,4.86,0.15,,0.68,2.91,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_020803-21,,,,,,,,,,,,,,,WR,50.72,1.32,,18.02,,11.23,,,10.05,4.73,0.15,,0.7,2.82,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_03110303,,,,,,,,,,,,,,,WR,50.67,1.34,,17.85,,11.14,,,10.04,4.99,0.15,,0.7,2.86,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_06111307,,,,,,,,,,,,,,,WR,50.82,1.31,,18.19,,11.01,,,10.04,4.85,0.15,,0.72,2.66,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_10080601.00,,,,,,,,,,,,,,,WR,50.91,1.32,,18.11,,10.99,,,10.12,4.85,0.15,,0.71,2.57,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_10080602.00,,,,,,,,,,,,,,,WR,50.99,1.33,,17.84,,11.13,,,10.11,4.88,0.15,,0.71,2.61,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_10080603.00,,,,,,,,,,,,,,,WR,50.81,1.34,,17.9,,11.17,,,10.15,4.9,0.16,,0.7,2.62,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_03080704,,,,,,,,,,,,,,,WR,50.9,1.32,,18.08,,11.1,,,10.08,4.79,0.15,,0.7,2.63,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04082405,,,,,,,,,,,,,,,WR,51.08,1.33,,17.9,,11.12,,,10.12,4.74,0.15,,0.71,2.59,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04082408,,,,,,,,,,,,,,,WR,51.14,1.35,,17.88,,11.15,,,10.1,4.67,0.15,,0.72,2.6,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04082505,,,,,,,,,,,,,,,WR,50.97,1.32,,17.78,,11.23,,,10.08,4.84,0.16,,0.72,2.64,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04111306,,,,,,,,,,,,,,,WR,51.13,1.35,,17.54,,11.35,,,9.98,4.9,0.16,,0.72,2.62,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04111307,,,,,,,,,,,,,,,WR,51.11,1.33,,17.73,,11.23,,,9.98,4.89,0.15,,0.73,2.59,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04111603,,,,,,,,,,,,,,,WR,50.93,1.34,,17.75,,11.27,,,10.13,4.73,0.16,,0.72,2.7,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-SU7_04111609,,,,,,,,,,,,,,,WR,50.96,1.33,,17.81,,11.21,,,10.14,4.78,0.15,,0.7,2.66,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka et al. (2021),  Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Ken2 020730-5,,,,,,,,999,,,,,,,WR,50.67,1.31,,17.31,,11.61,,,9.8,5.42,0.16,,0.7,2.78,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka (unpublish), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Ken2 T011017-04,,,,,,,,999,,,,,,,WR,50.56,1.33,,17.47,,11.57,,,9.8,5.36,0.16,,0.72,2.77,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka et al. (2021),  Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Ken1 020731-13-1,,,,,,,,950,,,,,,,WR,50.49,1.3,,18.36,,11.1,,,10.16,4.68,0.15,,0.69,2.82,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka (unpublish), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Ken1 020731-13-2,,,,,,,,950,,,,,,,WR,50.46,1.32,,18.17,,11.22,,,10.14,4.68,0.15,,0.71,2.89,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka (unpublish), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Ken1 T011017-02,,,,,,,,950,,,,,,,WR,50.67,1.31,,17.95,,11.35,,,10.03,4.79,0.16,,0.7,2.81,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_03110206,,,,,,,,950,,,,,,,WR,50.3,1.42,,17.29,,11.81,,,10.05,5.16,0.17,,0.75,2.75,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_03110306,,,,,,,,950,,,,,,,WR,50.43,1.38,,17.71,,11.83,,,10.11,4.93,0.17,,0.74,2.43,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_10080605.00,,,,,,,,950,,,,,,,WR,50.59,1.4,,17.61,,11.62,,,10.17,4.99,0.16,,0.74,2.44,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_10080606.00,,,,,,,,950,,,,,,,WR,50.71,1.41,,17.35,,11.73,,,10.1,5.09,0.17,,0.74,2.42,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_10110608.00,,,,,,,,950,,,,,,,WR,50.7,1.38,,17.52,,11.65,,,10.14,5.05,0.16,,0.74,2.38,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_06111305-1,,,,,,,,950,,,,,,,WR,50.51,1.41,,17.43,,11.96,,,10.03,5.01,0.17,,0.76,2.45,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_03110410,,,,,,,,950,,,,,,,WR,50.53,1.4,,17.47,,11.82,,,10.05,5.08,0.17,,0.76,2.44,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_08071105,,,,,,,,950,,,,,,,WR,50.72,1.39,,17.42,,11.78,,,10.05,4.99,0.17,,0.74,2.47,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_10110605.00,,,,,,,,950,,,,,,,WR,50.55,1.4,,17.42,,11.71,,,10.12,5.15,0.17,,0.74,2.47,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_11100301.00,,,,,,,,950,,,,,,,WR,50.74,1.42,,17.18,,11.9,,,10.04,5.12,0.17,,0.77,2.38,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_11100303.00,,,,,,,,950,,,,,,,WR,50.7,1.39,,17.41,,11.74,,,10.11,5.04,0.17,,0.77,2.39,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_04111308,,,,,,,,950,,,,,,,WR,50.65,1.41,,17.17,,11.91,,,10.06,5.21,0.17,,0.75,2.39,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_04111310,,,,,,,,950,,,,,,,WR,50.75,1.4,,17.28,,11.84,,,10.05,5.05,0.17,,0.76,2.42,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_04111608-1,,,,,,,,950,,,,,,,WR,50.43,1.4,,17.58,,11.76,,,10.06,5.17,0.17,,0.73,2.42,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_08071102-2,,,,,,,,950,,,,,,,WR,50.77,1.41,,17.42,,11.81,,,9.97,4.99,0.17,,0.73,2.45,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_06111302,,,,,,,,950,,,,,,,WR,50.16,1.4,,17.88,,11.85,,,9.83,5.22,0.17,,0.76,2.47,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tmr_10080604.00,,,,,,,,950,,,,,,,WR,51.04,1.33,,17.81,,11.19,,,10.05,4.87,0.16,,0.74,2.55,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_KF12,,,,,,,,937,,,,,,,WR,50.35,1.51,,16.95,,12.73,,,9.41,5.28,0.2,,0.79,2.45,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_090914-5,,,,,,,,937,,,,,,,WR,51.19,1.54,,16.73,,12.4,,,9.16,5.29,0.19,,0.8,2.39,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_090917-3,,,,,,,,937,,,,,,,WR,50.03,1.57,,16.41,,13.05,,,9.79,5.42,0.2,,0.8,2.43,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto et al. (2020), Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_020802-23,,,,,,,,937,,,,,,,WR,49.94,1.55,,16.41,,13.01,,,9.7,5.56,0.18,,0.8,2.55,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_3110305,,,,,,,,937,,,,,,,WR,49.96,1.54,,17.25,,12.28,,,9.86,5.13,0.17,,0.76,2.73,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_10080318.00,,,,,,,,937,,,,,,,WR,50.17,1.51,,17.46,,12.28,,,9.9,5.06,0.17,,0.75,2.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_3101204,,,,,,,,937,,,,,,,WR,50.16,1.54,,17.09,,12.32,,,9.75,5.17,0.17,,0.77,2.7,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_3101205,,,,,,,,937,,,,,,,WR,50.41,1.54,,16.96,,12.26,,,9.81,5.03,0.17,,0.78,2.73,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_04032801-1,,,,,,,,937,,,,,,,WR,50.24,1.52,,17.1,,12.32,,,9.83,5.07,0.17,,0.79,2.66,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_3101304,,,,,,,,937,,,,,,,WR,50.11,1.53,,17.11,,12.29,,,9.81,5.17,0.17,,0.76,2.74,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_4032803,,,,,,,,937,,,,,,,WR,50.04,1.52,,16.95,,12.31,,,9.86,4.97,0.17,,0.8,3.05,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakano (unpublish),Yamamoto et al. (2021)",Convergent margin,FUJI,,,,,,,,,Sd-Tam_4032804,,,,,,,,937,,,,,,,WR,50.33,1.51,,17.14,,12.3,,,9.87,5.07,0.17,,0.76,2.52,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
