CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.249161731,-8.249161731,116.2735946,116.2735946,,,,RIN14 22A PcPF1 (649-718 AD),,,,,,,,,,,,,,,WR,63.1,0.53,,14.55,,3.55,,,2.26,0.86,0.12,,3.29,3.7,0.17,,,,,,,,,,,,,,,,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.456364784,-8.456364784,116.5334426,116.5334426,,,,RIN13 10Fy PcPF1,,,,,,,,,,,,,,,WR,59.82,0.65,,17.26,,5.07,,,3.97,1.4,0.11,,3.03,4.21,0.27,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.456364784,-8.456364784,116.5334426,116.5334426,,,,RIN13 10Fg PcPF1,,,,,,,,,,,,,,,WR,60.3,0.65,,17.05,,4.97,,,3.96,1.41,0.14,,3.14,4.32,0.28,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.446293768,-8.446293768,116.5302116,116.5302116,,,,RIN13 11 PcPF1,,,,,,,,,,,,,,,WR,57.77,0.65,,17.82,,4.33,,,2.59,0.95,0.12,,3.2,3.95,0.26,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,lembar lava flow,-8.353667439,-8.353667439,116.5041118,116.5041118,,,,RIN14 23 Lembar,,,,,,,,,,,,,,,WR,62.7,0.67,,16.63,,4.88,,,3.86,1.58,0.13,,3.65,4.5,0.19,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,lembar lava flow,-8.345975,-8.345975,116.509605,116.509605,,,,RIN14 44 Lembar,,,,,,,,,,,,,,,WR,66.3,0.57,,16.07,,3.63,,,2.34,0.77,0.12,,4.39,4.69,0.15,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Scoria,-8.486065711,-8.486065711,116.6417767,116.6417767,,,,RIN14 31 Sc,,,,,,,,,,,,,,,WR,54.71,0.94,,19.12,,7.9,,,7.89,2.39,0.17,,1.8,3.98,0.3,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.484052291,-8.484052291,116.6457761,116.6457761,,,,RIN14 32 LF,,,,,,,,,,,,,,,WR,56.21,1.05,,17.3,,8.52,,,6.45,2.54,0.2,,2.06,4.42,0.35,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.488478472,-8.488478472,116.6491972,116.6491972,,,,RIN14 33 LF,,,,,,,,,,,,,,,WR,50.02,1.01,,19.85,,10.04,,,9.63,3.86,0.2,,1.09,3.43,0.24,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.376073952,-8.376073952,9074085,9074085,,,,RIN14 41 LF,,,,,,,,,,,,,,,WR,50.24,0.99,,17.04,,10.53,,,9.55,4.96,0.19,,1.82,3.04,0.32,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.418379844,-8.418379844,116.4398269,116.4398269,,,,RIN14 43 LF,,,,,,,,,,,,,,,WR,49.73,1.01,,19.14,,9.68,,,9.35,3.38,0.24,,1.37,3.33,0.26,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.376073952,-8.376073952,116.4573897,116.4573897,,,,RIN14 22F LF (649-718 AD),,,,,,,,,,,,,,,WR,52.1,0.98,,18.76,,9.14,,,8.97,3.39,0.19,,2.07,3.4,0.31,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.499527664,-8.499527664,116.2932448,116.2932448,,,,RIN14 19B LF,,,,,,,,,,,,,,,WR,63.47,0.66,,16.55,,4.32,,,3.14,1.23,0.13,,3.63,4.84,0.25,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Block,-8.636419082,-8.636419082,116.3827959,116.3827959,,,,RIN13 40L B,,,,,,,,,,,,,,,WR,53.64,1.03,,17.69,,9.07,,,8.15,3.65,0.19,,1.56,3.88,0.25,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.400116,-8.400116,116.423975,116.423975,,,,BARU2009 LF,,,,,,,,2009,,,,,,,WR,54.42,0.91,,18.04,,8.94,,,7.87,3.72,0.18,,1.84,3.71,0.22,,,,,,,,,,,,,,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.408625,-8.408625,116.412266,116.412266,,,,BARU1994 LF,,,,,,,,1994,,,,,,,WR,54.68,0.91,,18.22,,9.06,,,7.98,3.77,0.18,,1.82,3.72,0.22,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.401701,-8.401701,116.414643,116.414643,,,,BARU1944 LF,,,,,,,,1944,,,,,,,WR,55.03,0.9,,18.14,,9.04,,,7.95,3.83,0.17,,1.81,3.71,0.21,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.407465,-8.407465,116.432988,116.432988,,,,BARU1966 LF,,,,,,,,1966,,,,,,,WR,53.25,0.89,,17.7,,9.07,,,8.15,3.95,0.17,,1.68,3.49,0.21,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.400116,-8.400116,116.423975,116.423975,,,,BARU2004 LF,,,,,,,,2004,,,,,,,WR,54.12,0.88,,17.93,,8.83,,,7.9,3.69,0.17,,1.79,3.63,0.22,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.400116,-8.400116,116.423975,116.423975,,,,BARU2010 LF,,,,,,,,2010,,,,,,,WR,54.39,0.88,,17.71,,8.67,,,7.78,3.59,0.17,,1.86,3.65,0.22,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Lava flow,-8.414490903,-8.414490903,116.4152436,116.4152436,,,,RIN14 42 LF,,,,,,,,,,,,,,,WR,53.8,0.9,,17.85,,9.06,,,8.01,3.78,0.17,,1.67,3.59,0.21,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nicole Métrich, Celine M Vidal, Jean-Christophe Komorowski, Indyo Pratomo, Agnès Michel, Nugraha Kartadinata, Oktory Prambada, Heryadi Rachmat, Surono, New Insights into Magma Differentiation and Storage in Holocene Crustal Reservoirs of the Lesser Sunda Arc: the Rinjani–Samalas Volcanic Complex (Lombok, Indonesia), Journal of Petrology, Volume 58, Issue 11, November 2017, Pages 2257–2284, https://doi.org/10.1093/petrology/egy006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal, C. M., Komorowski, J.-C., Me _trich, N., Pratomo, I., Kartadinata, N., Prambada, O., Michel, A., Carazzo, G., Lavigne, F., Rodysill, J., Fontijn, K. & Surono (2015). Dynamics of the major plinian eruption of Samalas in 1257 A.D. (Lombok, Indonesia). Bulletin of Volcanology 77, 73. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
