CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_3 Pumice Fall (P3-PF),-8.410314714,-8.410314714,115.5715893,115.5715893,LAND,348,348,RIN1392E,,,,,,,,1257,,,,,,,GL,70.09,0.47,,15.65,,2.51,,,1.8,0.6,0.14,,4.39,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_4 Co-PDC Ash Fall (P4-AF),-8.410314714,-8.410314714,115.5715893,115.5715893,LAND,348,348,RIN1392F,,,,,,,,1257,,,,,,,GL,69.9,0.47,,15.18,,2.34,,,1.58,0.49,0.11,,4.62,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Phase 1&3 (6) Pumice Fall,-8.536690061,-8.536690061,116.2441756,116.2441756,,,,RIN13 07 Phase 1&3 (6) PF (1257 AD),,,,,,,,1257,,,,,,,WR,62.12,0.63,,16.47,,4.66,,,3.46,1.38,0.14,,3.41,4.44,0.27,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,,,,,713,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Phase 2 (5) Pumice Fall,-8.536690061,-8.536690061,116.2441756,116.2441756,,,,RIN13 07 Phase 2 (5) PF (1257 AD),,,,,,,,1257,,,,,,,WR,62.25,0.62,,16.74,,4.7,,,3.72,1.42,0.14,,3.3,2.93,0.23,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,709,,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Phase 4 (5) PDC,-8.410314714,-8.410314714,9070054,9070054,,,,RIN13 07 Phase 4 (5) PDC (1257 AD),,,,,,,,1257,,,,,,,WR,62.56,0.63,,16.74,,4.64,,,3.69,1.38,0.14,,3.46,4.54,0.24,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,716,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera scoria fall,-8.372890382,-8.372890382,116.4012189,116.4012189,,,,RIN13 13D PcSF4 (625-711 AD),,,,,,,,711,,,,,,,WR,50.35,1.06,,19.02,,10.49,,,9.88,4.41,0.2,,1.02,3.21,0.22,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera scoria fall,-8.372890382,-8.372890382,116.4012189,116.4012189,,,,M14 SF PcSF4 (625-711 AD),,,,,,,,711,,,,,,,WR,51.11,1.1,,19.29,,10.44,,,9.63,4.2,0.2,,1.07,3.37,0.22,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera scoria fall,-8.337173461,-8.337173461,116.4021906,116.4021906,,,,RIN13 15 PcSF3,,,,,,,,,,,,,,,WR,49.43,1.04,,19,,10.37,,,9.59,4.27,0.19,,0.97,3.02,0.2,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera scoria fall,-8.456364784,-8.456364784,116.5334426,116.5334426,,,,RIN13 10A PcSF2,,,,,,,,,,,,,,,WR,56,0.92,,17.61,,8.11,,,6.47,2.92,0.19,,1.74,4.27,0.3,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,426,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera scoria fall,-8.351788,-8.351788,116.544282,116.544282,,,,RIN14 25 PcSF1,,,,,,,,,,,,,,,WR,48.91,1.24,,18.05,,11.43,,,9.22,4.62,0.19,,1.1,2.84,0.24,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
