"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID","[24434]","SUBMARINE RIDGE","CAPE VERDE RIDGE","","9.6933","9.699","-22.2763","-22.279","SAQ","-3546","-3880","s_MSM70-5DR-5 [24434]","THOLEIITE [24434]","","","","","","","","","VOL","","","","","WR [24434] ","47.6","1.26","","17.1","","","","8.25","11.5","7.08","0.16","","0.59","2.39","0.13","","","","","","","","","","","","","0","","","2.99","","","","","","","","","","","","","","19.6","","","","","","","","","","","","","","42.9","","272","382","","","32.7","130","","126","14.7","","","","","7.55","132","26","78.2","3.43","","","","","","","","","","","","0.3","23.4","3.96","10.2","1.77","9.58","3.2","1.16","4.11","0.74","4.92","1.03","2.88","0.43","2.77","0.42","2.17","0.25","","","","","","","","","0.61","","0.28","0.13","0.512927","0.5128","","0.704284","0.70405","18.6985","18.48","15.5767","15.57","38.4918","38.34","","","","","","","0.283091","","","","","","","1943316","[24434]","SUBMARINE RIDGE","CAPE VERDE RIDGE","","9.6933","9.699","-22.2763","-22.279","SAQ","-3546","-3880","s_MSM70-5DR-7 [24434]","THOLEIITE [24434]","","","","","","","","","VOL","","","","","WR [24434] ","49.2","1.85","","17.6","","","","8.25","3.66","7.02","0.21","","0.42","5.63","0.39","","","","","","","","","","","","","0","","","4.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1943317","[24434]","SUBMARINE RIDGE","CAPE VERDE RIDGE","","9.6933","9.699","-22.2763","-22.279","SAQ","-3546","-3880","s_MSM70-5DR-8 [24434]","THOLEIITE [24434]","","","","","","","","","VOL","","","","","WR [24434] ","48.9","1.52","","16.4","","","","7.29","6.83","8.49","0.17","","0.93","3.6","0.32","","","","","","","","","","","","","0","","","4.19","","","","","","","","","","","","","","17.2","","","","","","","","","","","","","","35.5","","229","495","","","33.6","184","","138","15.1","","","","","7.76","209","20.9","84.4","27.6","","","","","","","","","","","","0.15","85.8","17","35.7","4.51","19.3","4.43","1.45","4.49","0.71","4.23","0.83","2.23","0.32","2.01","0.3","2.37","1.71","","","","","","","","","0.36","","2.06","0.63","0.512745","0.5127","","0.704341","0.70426","21.3745","20.44","15.738","15.69","41.0727","40.06","","","","","","","0.282908","","","","","","","1943318",
Abbreviations: MET: METAMORPHIC ROCK; PEG: PEGMATITE; PER: MANTLE XENOLITH; PLU: PLUTONIC ROCK; SED: SEDIMENTARY ROCK; VOL: VOLCANIC ROCK; VEIN: VEIN; ORE: ORE; WR: WHOLE ROCK; GL: VOLCANIC GLASS; MIN: MINERAL / COMPONENT (INCL. GROUNDMASS); INC: INCLUSION; LEACH: LEACH; SAE: SUBAERIAL; SAQ: SUBAQUATIC; F: FRESH; E: EXTENSIVELY ALTERED; M: MODERATELY ALTERED; S: SLIGHTLY ALTERED; T: ALMOST TOTALLY ALTERED; 

References:


"[24434] LONG XIAOJUN, VAN DER ZWAN F. M., GELDMACHER J., HOERNLE K. A., HAUFF F., GARBE-SCHÖNBERG D., AUGUSTIN N.:    INSIGHTS INTO THE PETROGENESIS OF AN INTRAPLATE VOLCANIC PROVINCE: SR-ND-PB-HF ISOTOPE GEOCHEMISTRY OF THE BATHYMETRISTS SEAMOUNT PROVINCE, EASTERN EQUATORIAL ATLANTIC  CHEM. GEOL. 544 (119599)  [2020]    doi: 10.1016/j.chemgeo.2020.119599"
