"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID","[23378]","SUBMARINE RIDGE","BOLLONS FRACTURE ZONE","BOLLONS GAP","-49.5364","-49.5364","-178.0702","-178.0702","SAQ","","","s_P63809 [23378]","BASALT [23378]","","","UPPER [23378]","CRETACEOUS [23378]","","","","","VOL","","","","","WR [23378] ","49.76","1.8","","17.4","","","","9.37","7.87","4.49","0.14","","2.32","3.24","0.48","","","","","","","","","","","","","","","","2.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","","242","254","","","","88","146","359","15","","","","","44.8","212","43.98","102","6.67","","","","","","","","","","","","1.22","201","14.56","17.29","2.96","14.4","4.55","1.72","5.81","1.03","6.79","1.44","3.95","0.56","3.41","","2.96","0.51","","","","","","","","","2.51","","0.68","0.53","0.513057","","","0.703523","","18.753","","15.628","","38.494","","","","","","","","","","","","","","","1656906","[23378]","SUBMARINE RIDGE","BOLLONS FRACTURE ZONE","BOLLONS GAP","-49.5364","-49.5364","-178.0702","-178.0702","SAQ","","","s_P63810 [23378]","BASALT [23378]","","","UPPER [23378]","CRETACEOUS [23378]","","","","","VOL","","","","","WR [23378] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3","","","","","","","","116","477","17","","","","","30.5","","36.39","","6.53","","","","","","","","","","","","0.67","308","9.24","17.38","2.64","13.1","4.34","1.64","5.3","0.95","6.23","1.32","3.61","0.53","3.18","","2.92","0.55","","","","","","","","","2.79","","0.68","0.54","0.513059","","","0.703448","","18.351","","15.619","","38.167","","","","","","","","","","","","","","","1656907","[23378]","SUBMARINE RIDGE","BOLLONS FRACTURE ZONE","NEAR BOLLONS GAP; PAPAMAHAU SEAMOUNT","-47.09722222","-47.09722222","-174.48888889","-174.48888889","SAQ","","","s_SO246-DR31-1 [23378]","BASALT [23378]","","","UPPER [23378]","CRETACEOUS [23378]","","","","","VOL","","","","","WR [23378] ","48.9","1.24","","15.55","","","","9.35","12.08","4.58","0.14","","0.87","2.47","0.65","","","","","","","","","","","","","","","","2.57","","","","","","","","","","","","","","12.474","","","","","","","","","","","","","","50.472","","254.333","143.91","","","34.37","18.163","65.276","95.595","18.049","","","","","16.48","104.08","39.36","58.86","1.32","0.23","","","","","","","0.593","0.664","","","0.504","12.91","6.09","5.86","1.427","8.25","3.01","1.18","4.42","0.82","5.71","1.25","3.58","0.53","3.51","0.55","1.81","0.09","","","","","","","","0.016","0.47","","0.11","0.37","0.513168784115328","","","0.702993319771392","","19.3150952005353","","15.5913710673603","","38.4284089990726","","","","","","","","0.28329365","","","","","","","1656908",
Abbreviations: MET: METAMORPHIC ROCK; PEG: PEGMATITE; PER: MANTLE XENOLITH; PLU: PLUTONIC ROCK; SED: SEDIMENTARY ROCK; VOL: VOLCANIC ROCK; VEIN: VEIN; ORE: ORE; WR: WHOLE ROCK; GL: VOLCANIC GLASS; MIN: MINERAL / COMPONENT (INCL. GROUNDMASS); INC: INCLUSION; LEACH: LEACH; SAE: SUBAERIAL; SAQ: SUBAQUATIC; F: FRESH; E: EXTENSIVELY ALTERED; M: MODERATELY ALTERED; S: SLIGHTLY ALTERED; T: ALMOST TOTALLY ALTERED; 

References:


"[23378] HOERNLE K. A., TIMM C., HAUFF F., TAPPENDEN V., WERNER R., JOLIS E. M., MORTIMER N., WEAVER S., RIEFSTAHL F., GOHL K.:    LATE CRETACEOUS (99-69 MA) BASALTIC INTRAPLATE VOLCANISM ON AND AROUND ZEALANDIA: TRACING UPPER MANTLE GEODYNAMICS FROM HIKURANGI PLATEAU COLLISION TO GONDWANA BREAKUP AND BEYOND  EARTH PLANET. SCI. LETT. 529 (115864)  [2020]    doi: 10.1016/j.epsl.2019.115864"
