GVP;GEOROC
Longgang Group;LONGGANG VOLCANIC FIELD,LONGGANG VOLCANIC FIELD - JINGLONGDINGZI,LONGGANG VOLCANIC FIELD - LONGQUAN MAAR,LONGGANG VOLCANIC FIELD - DALONGWAN,LONGGANG VOLCANIC FIELD - SIHAILONGWAN MAAR
Jingbo;JINGBOHU
Changbaishan;CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN),CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN)-BAITOUSHAN(P(A),CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD-,PAEKTUSAN(G) VOLCANIC FIELD
Wudalianchi;WUDALIANCHI-ERKESHAN-KELUO VOLCANIC,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - HUOSHA,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - HUOSHA,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - YAOQUA,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - LAOHEI,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - HUOSHA,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - KEDONG
Tengchong;TENGCHONG VOLCANIC FIELD - MAANSHAN,TENGCHONG VOLCANIC FIELD - DAYINGSHAN,TENGCHONG VOLCANIC FIELD
Tatun Volcanic Group;TATUN VOLCANIC GROUP
Halla;JEJU ISLAND
Hainan Volcanic Field;HAINAN PROVINCE
Udokan Plateau;UDOKAN VOLCANIC PLATEAU
Vitim Volcanic Field;VITIM PLATEAU
Keluo Group;KELUO VOLCANIC FIELD - DAYIZISHAN,KELUO VOLCANIC FIELD - NANSHAN,KELUO VOLCANIC FIELD - TAISAN
Taryatu-Chulutu;SHAVARYN-TSARAM,TARIAT
Dariganga Volcanic Field;DARIGANGA VOLCANIC FIELD
Ulreung;ULLEUNG ISLAND
Ch'uga-ryong;CHOOGARYONG VOLCANIC FIELD
Kunlun Volcanic Group;KUNLUN MOUNTAINS,ASHIKULE BASIN,ASHIKULE VOLCANOES
