GVP;GEOROC
Alcedo;ALCEDO
San Cristobal-Galapagos Islands;SAN CRISTOBAL (CHATHAM)
Azul, Cerro-Galapagos Islands;CERRO AZUL
Negra, Sierra;SIERRA NEGRA
Darwin;DARWIN VOLCANO
Ecuador;ECUADOR
Fernandina;FERNANDINA (NARBOROUGH)
Wolf;WOLF (WENMAN),WOLF VOLCANO
Santiago;SANTIAGO (JAMES, SAN SALVADOR)
Pinta;PINTA (ABINGDON),PINTA SUBMARINE RIDGE
Marchena;MARCHENA (BINDLOE)
Genovesa;GENOVESA (TOWER)
Santa Cruz;SANTA CRUZ (INDEFATIGABLE)
