"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","CASUARINA POINT","-33.321","-33.321","115.631","115.631","SAE","","","s_BN 1 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","51.76","1.63","","15.77","","","","10.46","9.48","5.73","0.17","","0.29","3.16","0.15","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","229","286","","","42","57","","","21","","","","","3.2","239.6","30.9","98","5.7","","","","","","","","","","","","","48","7.3","18.4","2.7","13.3","4.26","1.49","5.68","0.97","5.9","1.21","3.32","0.51","2.67","0.4","2.7","0.4","","","","","","","","","11","","0.7","0.19","","","","","","","","","","","","","","","","","","","","","","","","","1025017",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","CASUARINA POINT","-33.317","-33.317","115.633","115.633","SAE","","","s_BN 2 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","52.41","1.66","","15.96","","","","10.33","9.78","5.72","0.17","","0.3","3.26","0.16","","","","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","238","289","","","38","61","","","21.7","","","","","3.5","244.5","31.9","103","5.8","","","","","","","","","","","","","48.2","7.6","18.7","2.74","13.6","4.27","1.47","5.87","0.97","5.94","1.22","3.24","0.51","2.66","0.44","2.7","0.4","","","","","","","","","11","","0.68","0.19","","","","","","","","","","","","","","","","","","","","","","","","","1025018",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY","-33.398","-33.398","115.654","115.654","SAE","","","s_BN 5 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","51.73","1.92","","14.2","","","","10.68","9.1","5.43","0.18","","0.45","3.18","0.2","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","266","181","","","47","35","","","22.2","","","","","7.7","249","37.7","129","7.6","","","","","","","","","","","","","90.3","11.1","27","3.72","17.6","5.78","1.92","7.23","1.18","7.23","1.45","3.76","0.57","3.1","0.49","3.5","0.5","","","","","","","","","10","","1.35","0.54","","","","","","","","","","","","","","","","","","","","","","","","","1025021",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY","-33.398","-33.398","115.654","115.654","SAE","","","s_BN 6 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","51.33","1.9","","13.92","","","","10.85","8.7","5.4","0.18","","0.46","3.16","0.21","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","257","177","","","40","33","","","21.9","","","","","7.8","248.5","38.4","134","7.6","","","","","","","","","","","","","121.5","11.3","27.2","3.81","18.4","5.53","1.87","7.27","1.17","7.17","1.5","3.92","0.59","3.22","0.47","3.6","0.5","","","","","","","","","10","","1.31","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1025022",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY","-33.397","-33.397","115.651","115.651","SAE","","","s_BN 7 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","52.64","1.96","","14.24","","","","11.32","8.92","5.64","0.19","","0.44","3.18","0.21","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","262","181","","","39","32","","","21.7","","","","","6.8","244.2","37.8","131","7.6","","","","","","","","","","","","","93.7","10.7","26.3","3.69","18","5.7","1.92","6.98","1.19","7.21","1.53","3.88","0.6","3.26","0.49","3.6","0.5","","","","","","","","","10","","1.29","0.28","","","","","","","","","","","","","","","","","","","","","","","","","1025023",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY","-33.397","-33.397","115.651","115.651","SAE","","","s_BN 8 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","51.27","1.94","","14.29","","","","10.99","9.01","5.57","0.18","","0.39","3.15","0.2","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","263","181","","","39","32","","","21.7","","","","","6.2","248.2","37.4","130","7.5","","","","","","","","","","","","","79.1","10.9","26.5","3.69","17.5","5.73","1.86","7.17","1.17","7.22","1.47","3.74","0.58","3.16","0.5","3.6","0.6","","","","","","","","","10","","1.25","0.28","","","","","","","","","","","","","","","","","","","","","","","","","1025024",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BLACK POINT","-34.418","-34.418","115.542","115.542","SAE","","","s_BN 9 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","52.29","1.27","","14.32","","","","10.31","9.68","5.94","0.2","","0.49","3.07","0.12","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","285","125","","","42","46","","","18.7","","","","","11.6","173","30","93","3.6","","","","","","","","","","","","","115.3","9.9","22.4","2.96","13.5","3.8","1.28","5.12","0.86","5.37","1.16","3.17","0.48","2.86","0.42","2.7","0.2","","","","","","","","","17","","2.11","0.28","","","","","","","","","","","","","","","","","","","","","","","","","1025025",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BLACK POINT","-34.422","-34.422","115.541","115.541","SAE","","","s_BN 11 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","52.97","1.28","","14.4","","","","10.64","9.77","5.92","0.2","","0.52","2.97","0.11","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","288","128","","","39","44","","","18.5","","","","","12.6","170.9","29.4","91","3.4","","","","","","","","","","","","","129","10.1","22.4","2.95","13.3","3.75","1.25","4.95","0.83","5.27","1.12","3.14","0.49","2.95","0.43","2.7","0.2","","","","","","","","","22","","2.1","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1025027",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BLACK POINT","-34.422","-34.422","115.551","115.551","SAE","","","s_BN 12 [20162]","BASALT [20162]","","","","","","","","","VOL","","","","","WR [20162] ","52.82","1.26","","14.35","","","","10.04","9.68","6.02","0.19","","0.54","2.93","0.12","","","","","","","","","","","","","","","","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","286","130","","","35","47","","","18.2","","","","","12.9","170","29.1","90","3.6","","","","","","","","","","","","","117.3","9.8","21.8","2.9","12.6","3.8","1.25","5.03","0.81","5.27","1.14","3.16","0.49","2.91","0.43","2.5","0.3","","","","","","","","","14","","2.08","0.28","","","","","","","","","","","","","","","","","","","","","","","","","1025028",
"[20162]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","SUE 1","-34.065","-34.065","115.319","115.319","SAE","","","s_BN 13 [20162]","NOT GIVEN [20162]","","","","","","","","","PLU","2860.1","2860.4","","","WR [20162] ","51.58","1.73","","13.18","","","","12.4","9.07","5.59","0.2","","0.31","2.84","0.17","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","298","134","","","44","42","","","19.6","","","","","6","194.7","36.3","102","4.6","","","","","","","","","","","","","107.5","6.3","16.3","2.5","12.8","4.56","1.53","6.42","1.06","6.61","1.41","3.77","0.59","3.22","0.48","2.8","0.3","","","","","","","","","17","","0.61","0.16","","","","","","","","","","","","","","","","","","","","","","","","","1025029",
