GVP;GEOROC
Alid;ALID
Gada Ale;GADA ALE
Alu-Dalafilla;ALU DALAFFILA
Bora Ale;BORALE,BORALE ALE
Erta Ale;ERTA ALE
Ale Bagu;ALE BAGU (DALLAFILLA)
Hayli Gubbi;HAYLI GUBBI
Dubbi;DUBBI
Nabro;NABRO
Tat Ali;TAT ALI,TAT^ALI
Afdera;AFDERA
Ma Alalta;MA ALALTA
Alayta;ALAYTA
Dabbahu;DABBAHU (BOINA)
Dabbayra;DABBAYRA
Manda Hararo;MANDA HARARO RIFT SEGMENT
Manda-Inakir;MANDA INAKIR
Assab Volcanic Field;ASSAB VOLCANIC FIELD
Dama Ali;DAMA ALE VOLCANO
Gabillema;GABILEMA
Yangudi;YANGUDI
Ayelu;AYELU
Hertali;HERTALI
Dofan;DOFAN
Fentale;FANTALE
Kone;KONE
Boset-Bericha;BOSETI VOLCANIC COMPLEX
Sodore;DERA-SODORE UNIT
Gedamsa;GEDEMSA
Bora-Bericcio;BORA-BARICHA
Tullu Moye;TULU MOYE,TULU MOYE-HATE UNIT
East Ziway;ASELA-ZIWAY REGION
Butajiri-Silti Field;BUTAJIRA
Alutu;ALUTO,ALUTO MARECHA UNIT
Corbetti Caldera;CORBETTI VOLCANIC SYSTEM
Tepi;TEPI
Northern Lake Abaya Volcanic Field;ABAYA LAKE
Korath Range; KORATH RANGE
Mega Volcanic Field;MEGA
North Island;NORTH ISLAND - LAKE TURKANA
Central Island;CENTRAL ISLAND
South Island;SOUTH ISLAND - LAKE TURKANA
Marsabit;MARSABIT
Barrier, The;THE BARRIER
Namarunu;NAMARUNU
Emuruangogolak;EMURUANGOGOLAK 
Silali;SILALI 
Paka;PAKA
Korosi;KOROSI 
Ol Kokwe;OL KOKWE ISLAND
Nyambeni Hills;NYAMBENI RANGE
Menengai;MENENGAI CALDERA
Homa Mountain;HOMA MOUNTAIN
Elmenteita Badlands;ELMENTEITA VOLCANIC GROUP (BADLANDS)
Eburru, Ol Doinyo;EBURRU
Olkaria;GREATER OLKARIA(NAIVASHA) 
Longonot;LONGONOT
Suswa;MOUNT SUSWA
Lengai, Ol Doinyo;OLDOINYO LENGAI
Chyulu Hills;CHYULU HILLS VOLCANIC FIELD
Meru;MERU
Ngozi;NGOZI
Rungwe;RUNGWE PROVINCE
Fort Portal;FORT PORTAL FIELD
Katwe-Kikorongo;KATWE-KIKORONGO
Bunyaruguru;BUNYARUGURU
Katunga;KATUNGA
Nyamuragira;NYAMURAGIRA
Nyiragongo;NYIRAGONGO
Karisimbi;KARISIMBI
Visoke;VISOKE
Muhavura;MUHAVURA
Bufumbira;BUFUMBIRA VOLCANIC FIELD
Badi;BADI
East Chamo Basin;GAMO-GIDOLE HIGHLAND
Tshibinda;TSHIBINDA (CIBINDA)
Kyejo;KIEJO
